entry_id,formula,band_gap,avg_atomic_number,avg_atomic_mass,ntypes,a,b,c,volume,density,c_over_a,b_over_a
6321,YbSe,2.083,52.0,126.0,2.0,4.171651408928843,4.171651408928843,4.171651408928843,51.334464331904016,8.15155764872319,1.0,1.0
6320,YbTe,1.62,61.0,150.32,2.0,4.489080128284859,4.489080128284859,4.489080128284859,63.96716075042932,7.804386810723939,1.0,1.0
17352,UTe,0.0,72.0,182.814455,2.0,3.744669,3.744669,3.744669,52.509793006056576,11.562435405365349,1.0,1.0
7648,CaSe,2.167,27.0,59.519,2.0,4.198733598648288,4.198733598648288,4.198733598648288,52.34075263834892,3.7765458026920395,1.0,1.0
7649,CaTe,1.644,36.0,83.839,2.0,4.518484456673719,4.518484456673719,4.518484456673719,65.23240345551143,4.268367486846644,1.0,1.0
9277,Se,0.0,34.0,78.96,1.0,2.822979,2.822979,2.822979,22.496913703007824,5.82818455068319,1.0,1.0
8122,HoSe,0.0,50.5,121.94515999999999,2.0,4.042967874247828,4.042967874247828,4.042967874247828,46.72893395290569,8.66678031430284,1.0,1.0
20684,ZnO,0.0,19.0,40.7042,2.0,2.66039,2.66039,2.66039,18.82937566581732,7.179304887079966,1.0,1.0
8123,HoTe,0.0,59.5,146.26515999999998,2.0,4.3266082031716255,4.3266082031716255,4.3266082031716255,57.270069512752734,8.481882933554013,1.0,1.0
4543,HgSe,0.176,57.0,139.775,2.0,4.397781329125176,4.397781329125176,4.397781329125176,60.143111920769186,7.7183185553836084,1.0,1.0
11469,CuO,0.0,18.5,39.7727,2.0,2.9571658137561374,2.9571658137561374,2.9571658137561374,18.285718632799163,7.223574151247288,1.0,1.0
4523,HgS,0.179,48.0,116.3275,2.0,4.235237279120262,4.235237279120262,4.235237279120262,53.7178030071173,7.191893477631535,1.0,1.0
14034,PbS,0.0,49.0,119.6325,2.0,3.648754,3.648754,3.648754,48.57734249311576,8.178892873389463,1.0,1.0
17353,ZnTe,1.453,41.0,96.50450000000001,2.0,4.339490274511282,4.339490274511282,4.339490274511282,57.78314294296128,5.546582771891626,1.0,1.0
18147,TbTe,0.0,58.5,143.262675,2.0,4.36575222036455,4.36575222036455,4.36575222036455,58.8385894609706,8.086300882970358,1.0,1.0
17898,TiO,0.0,15.0,31.9332,2.0,3.006376203086034,3.006376203086034,3.006376203086034,19.213875732212195,5.519586671078249,1.0,1.0
14052,PrTe,0.0,55.5,134.253825,2.0,3.898246,3.898246,3.898246,59.23900096984099,7.526586131253151,1.0,1.0
13784,NbS,0.0,28.5,62.48569,2.0,3.306079,3.306163773637961,3.323989,31.46527035107842,6.595203431320114,1.0054172934161585,1.000025641745996
4578,MnSe,0.0,29.5,66.9490225,2.0,3.7972539246397523,3.7972539246397523,3.7972539246397523,38.71630665838709,5.742875655375619,1.0,1.0
5624,SrS,2.587,27.0,59.8425,2.0,4.274733435490218,4.274733435490218,4.274733435490218,55.23471487301248,3.598128802160156,1.0,1.0
5625,SrSe,2.414,36.0,83.28999999999999,2.0,4.443193140826538,4.443193140826538,4.443193140826538,62.02554344129978,4.4596561795944005,1.0,1.0
5626,CaS,2.4,18.0,36.0715,2.0,4.030256922749219,4.030256922749219,4.030256922749219,46.289575711785126,2.587975115498756,1.0,1.0
14036,TePb,0.0,67.0,167.39999999999998,2.0,3.970582,3.970582,3.970582,62.59829556579997,8.881207950622754,1.0,1.0
5627,MgS,2.95,14.0,28.185,2.0,3.684060271107409,3.684060271107409,3.684060271107409,35.356167446602896,2.6474755063989304,1.0,1.0
14035,PbSe,0.0,58.0,143.07999999999998,2.0,3.756529,3.756529,3.756529,53.01029702902843,8.9639161935263,1.0,1.0
5578,VO,1.191,15.5,33.47045,2.0,3.1271302423228238,3.1271302423228238,3.1271302423228238,21.623346667330733,5.140646425773118,1.0,1.0
20737,BeO,7.021,6.0,12.505790999999999,2.0,2.6858899540081684,2.6858899540081684,2.6858899540081684,13.700917355757062,3.0313816227089614,1.0,1.0
8159,TbSe,0.0,49.5,118.94267500000001,2.0,4.08417805745538,4.08417805745538,4.08417805745538,48.17248002411975,8.200074345371558,1.0,1.0
8166,DyTe,0.0,59.0,145.05,2.0,4.345356432368005,4.345356432368005,4.345356432368005,58.01779501403003,8.303010891351532,1.0,1.0
6117,HgTe,0.0,66.0,164.095,2.0,4.328798819979741,4.328798819979741,4.328798819979741,57.3571032597891,9.501391912358207,1.0,1.0
8158,TbS,0.0,40.5,95.495175,2.0,3.9222421192822865,3.9222421192822865,3.9222421192822865,42.66661601937982,7.433140181955183,1.0,1.0
7652,ZnS,2.319,23.0,48.737,2.0,3.836050045296333,3.836050045296333,3.836050045296333,39.91515271858397,4.055086206110103,1.0,1.0
8173,BaSe,2.106,45.0,108.14349999999999,2.0,4.711284191632044,4.711284191632044,4.711284191632044,73.94399473574435,4.857095087748704,1.0,1.0
2577,MgO,4.975,10.0,20.1522,2.0,2.9691823863956217,2.9691823863956217,2.9691823863956217,18.509540134987624,3.615812730153708,1.0,1.0
2578,MnO,0.423,16.5,35.4687225,2.0,3.154598512344796,3.154598512344796,3.154598512344796,22.198175707968108,5.306490065739094,1.0,1.0
2580,NiO,2.62,18.0,37.346399999999996,2.0,2.9472097502770307,2.9472097502770307,2.9472097502770307,18.10164894211225,6.8518792383869345,1.0,1.0
6628,AgO,0.0,27.5,61.9338,2.0,3.533592190711599,3.533592190711599,3.533592190711599,31.19854077175843,6.592840052299724,1.0,1.0
