entry_id,formula,band_gap,avg_atomic_number,avg_atomic_mass,ntypes,a,b,c,volume,density,c_over_a,b_over_a
17353,ZnTe,1.453,41.0,96.50450000000001,2.0,4.339490274511282,4.339490274511282,4.339490274511282,57.78314294296128,5.546582771891626,1.0,1.0
13784,NbS,0.0,28.5,62.48569,2.0,3.306079,3.306163773637961,3.323989,31.46527035107842,6.595203431320114,1.0054172934161585,1.000025641745996
4578,MnSe,0.0,29.5,66.9490225,2.0,3.7972539246397523,3.7972539246397523,3.7972539246397523,38.71630665838709,5.742875655375619,1.0,1.0
7652,ZnS,2.319,23.0,48.737,2.0,3.836050045296333,3.836050045296333,3.836050045296333,39.91515271858397,4.055086206110103,1.0,1.0
18905,ZrS,0.0,28.0,61.6445,2.0,3.707003057729788,3.707003057729788,3.707003057729788,36.02083988941967,5.683548798322486,1.0,1.0
4138,ScS,0.0,18.5,38.510456,2.0,3.6838410680052416,3.6838410680052416,3.6838410680052416,35.34985670257193,3.618012785057314,1.0,1.0
22268,CrTe,0.0,38.0,89.79804999999999,2.0,4.399550510291705,4.399550510291705,4.399550510291705,60.21572594855825,4.952632156763088,1.0,1.0
18159,YTe,0.0,45.5,108.252925,2.0,4.364335178375052,4.364335178375052,4.364335178375052,58.781314319336374,6.116168492280013,1.0,1.0
7523,ZnSe,1.499,32.0,72.1845,2.0,4.044353803538953,4.044353803538953,4.044353803538953,46.77700646073747,5.124961663421758,1.0,1.0
22310,MnTe,0.0,38.5,91.2690225,2.0,4.467280026220878,4.467280026220878,4.467280026220878,63.039757212240964,4.808260194693759,1.0,1.0
13691,MnS,0.0,20.5,43.5015225,2.0,3.9641198112912788,3.9641198112912788,3.9641198112912788,44.04791119456561,3.2798820970046134,1.0,1.0
31237,ZrTe,0.0,46.0,109.412,2.0,3.796166,3.7962576319334547,3.9008,48.684272315428565,7.463720498132935,1.02756307284771,1.0000241380206911
18108,YSe,0.0,36.5,83.932925,2.0,4.077725000970271,4.077725000970271,4.077725000970271,47.94450110667808,5.813968147092433,1.0,1.0
29771,Cu2S,0.0,24.666666666666664,53.05233333333333,2.0,3.933869783192118,3.933869783192118,3.933869783192118,43.04720339192223,6.139456126473792,1.0,1.0
5066,Te2Rh,0.0,49.666666666666664,119.3685,2.0,3.9579310012632862,3.957827487478074,5.449059001486128,73.92324165864134,8.044130103101597,1.3767443140739204,0.9999738464907096
30525,HfSe2,0.591,46.666666666666664,112.13666666666666,2.0,3.7489470050384814,3.7489075111713546,6.277086010592495,76.4019169414909,7.31162214952242,1.6743597607958352,0.9999894653439823
7378,MnTePd,0.0,41.0,96.31934833333332,3.0,4.4698892502434555,4.4698892502434555,4.4698892502434555,63.15028147176433,7.598162855628482,1.0,1.0
27515,VTe2,0.0,42.33333333333333,102.04716666666667,2.0,3.669902001746368,3.669838055621801,6.684679003707732,77.96776509540632,6.520129450237678,1.8214870589260272,0.9999825755225789
5068,MoS2,0.0,24.666666666666664,53.35666666666666,2.0,3.173254366622695,3.173254,6.559663010559689,54.92702215818151,4.839193502909249,2.0671721370830918,0.9999998844647632
6396,Te2Ir,0.0,60.33333333333333,149.139,2.0,3.9659620011973136,3.9658573281359986,5.438963001344466,74.08600951015546,10.028255179503734,1.3714107698718387,0.9999736071446768
30523,HfS2,1.349,34.666666666666664,80.87333333333333,2.0,3.6379890060852302,3.638283679412588,6.076964004833088,69.65679765562419,5.783785681523376,1.6704184632411496,1.0000809989603774
31036,TaS2,0.0,35.0,81.69262666666665,2.0,6.455256398753035,6.455257289237897,6.455257210899887,60.105144010067455,6.7708247167650475,1.0000001258117108,1.000000137947249
5145,TiSe2,0.0,29.999999999999996,68.59566666666666,2.0,3.517227005551106,3.517171738911252,6.146489011795352,65.8497275501435,5.189351058675644,1.7475383312179116,0.9999842868715136
7680,NbS2,0.0,24.333333333333332,52.345459999999996,2.0,3.3449229973779664,3.344923,6.321836652698012,58.32753802641108,4.47070205695449,1.8899797267840255,1.0000000007838845
31059,TaSe2,0.0,47.0,112.95595999999999,2.0,3.4854960027892727,3.485461449272535,6.473856005824427,68.11142304529547,8.261512221935005,1.8573700846719419,0.9999900864850483
3637,MoSe2,1.163,36.666666666666664,84.61999999999999,2.0,3.330448368941486,3.3303810015549273,6.879912068442227,63.45108643010371,6.6436127693478495,2.0657615150565642,0.9999797722771544
7473,PtSe2,0.0,48.666666666666664,117.66799999999998,2.0,3.7789140010704134,3.7788396216882507,5.128734001490914,63.426261530990594,9.241864794421545,1.3571978616179545,0.9999803172598949
13789,NbSe2,0.0,36.33333333333333,83.60879333333332,2.0,3.4796490028797447,3.4796138966277566,6.534614006017877,68.52019230584045,6.078602372373554,1.8779520579833928,0.999989910978964
15433,VS2,0.0,18.333333333333332,38.357166666666664,2.0,3.1705880052747313,3.1705581973048536,5.881378011529356,51.2019729658068,3.731901534279418,1.8549802124226906,0.9999905985987999
29587,CrSe2,0.0,30.666666666666664,69.97203333333333,2.0,3.4803350006105735,3.4803737413434495,5.820253001593402,61.05451130852055,5.70922406509659,1.6723255090594222,1.000011131322953
3135,TiTe2,0.0,42.0,101.02233333333334,2.0,3.7513270156661895,3.7511476004546926,6.659782031945565,81.16084982256254,6.2007063146900885,1.7753136434475494,0.9999521728682284
10059,Cu2Se,0.0,30.666666666666664,68.684,2.0,4.075056379978073,4.075056379978073,4.075056379978073,47.850432486749995,7.150560161057033,1.0,1.0
